label,question,llm_calls,tool_calls,cache_hits,analyst_calls,specialist_calls,total_prompt_chars,max_prompt_chars,llm_ms,total_ms,gpu_idle_ms
baseline,"Which department has the most employees, and what is its average salary?",4,2,0,2,2,6095,1839,4802.32,4804.05,1.73
baseline,Which employees are not assigned to any project?,4,2,0,2,2,5843,1702,3323.38,3324.93,1.55
baseline,"What is the average salary by department, highest first?",4,2,0,2,2,6119,1820,6630.87,6632.64,1.77
baseline,Which projects have nobody working on them?,4,2,0,2,2,5822,1700,4156.25,4157.37,1.12
baseline,Who are the two highest-paid employees and their departments?,4,2,0,2,2,6132,1825,5075.38,5077.06,1.68
solo,"Which department has the most employees, and what is its average salary?",2,1,0,0,2,3416,1840,2824.7,2826.75,2.05
solo,Which employees are not assigned to any project?,2,1,2,0,2,3254,1702,309.21,309.82,0.61
solo,"What is the average salary by department, highest first?",2,1,2,0,2,3380,1820,295.6,297.38,1.78
solo,Which projects have nobody working on them?,2,1,2,0,2,3247,1700,288.61,289.21,0.6
solo,Who are the two highest-paid employees and their departments?,1,1,1,0,1,1565,1565,157.37,284.8,127.43
solo,Which employees are not assigned to any project?,2,1,0,0,2,3254,1702,1464.32,1465.2,0.88
solo,"What is the average salary by department, highest first?",2,1,0,0,2,3380,1820,3545.16,3546.61,1.45
solo,Which projects have nobody working on them?,2,1,0,0,2,3247,1700,2325.47,2326.5,1.03
solo,Who are the two highest-paid employees and their departments?,2,1,0,0,2,3390,1825,3144.46,3145.96,1.5
conc1,"Which department has the most employees, and what is its average salary?",4,2,0,2,2,6095,1839,4704.76,4706.5,1.74
conc1,"Which department has the most employees, and what is its average salary?",4,2,4,2,2,6095,1839,576.01,577.6,1.59
conc2,Which employees are not assigned to any project?,4,2,2,2,2,5843,1702,2214.09,2214.7,0.61
conc1,"Which department has the most employees, and what is its average salary?",4,2,0,2,2,6095,1839,4738.64,4741.18,2.54
conc2,"What is the average salary by department, highest first?",4,2,0,2,2,6113,1820,6656.53,6658.11,1.58
conc4,Who are the two highest-paid employees and their departments?,4,2,0,2,2,6132,1825,5029.55,5031.77,2.22
conc8,List every employee together with their department name.,1,1,0,1,0,1243,1243,799.13,1032.23,233.1
conc8,Which department has the fewest employees?,1,1,0,1,0,1229,1229,762.79,996.0,233.21
conc8,How many projects does each employee work on?,1,1,0,1,0,1232,1232,823.59,1057.02,233.43
conc8,What is the difference between the highest and lowest salary?,1,1,0,1,0,1248,1248,866.19,1118.18,251.99
conc8,Which department has the highest average salary?,4,2,0,2,2,5977,1815,4572.12,4574.43,2.31
baseline,How many employees are in each department?,4,2,0,2,2,6003,1817,5255.18,5257.57,2.39
conc1,"Which department has the most employees, and what is its average salary?",4,2,4,2,2,6095,1839,509.21,509.9,0.69
conc2,"What is the average salary by department, highest first?",4,2,4,2,2,6113,1820,511.84,513.87,2.03
conc4,How many employees are in each department?,4,2,4,2,2,6003,1817,532.87,535.19,2.32
conc8,Which employees earn more than the average salary?,5,4,1,3,2,7714,1829,4535.6,4786.55,250.95
conc8,What is the lowest salary in each department?,4,2,0,2,2,5943,1722,6283.71,6285.66,1.95
conc8,List every employee together with their department name.,4,2,1,2,2,6322,1935,7904.47,7907.2,2.73
debug,How many employees are in each department?,4,2,4,2,2,6003,1817,522.88,524.02,1.14
conc1,"Which department has the most employees, and what is its average salary?",4,2,0,2,2,6095,1839,4611.27,4614.35,3.08
conc2,Which employees are not assigned to any project?,4,2,0,2,2,5843,1702,3570.47,3573.45,2.98
conc2,"What is the average salary by department, highest first?",4,2,0,2,2,6113,1820,6825.02,6826.17,1.15
conc4,What is the total salary cost per department?,1,1,0,1,0,1232,1232,801.39,1044.18,242.79
conc4,Who are the two highest-paid employees and their departments?,1,1,0,1,0,1248,1248,868.62,1116.93,248.31
conc4,Which projects have nobody working on them?,4,2,0,2,2,5822,1700,4466.81,4470.62,3.81
conc4,How many employees are in each department?,4,2,0,2,2,6003,1817,5336.5,5340.41,3.91
conc8,List every employee together with their department name.,1,1,0,1,0,1243,1243,765.52,1010.83,245.31
conc8,Which department has the fewest employees?,1,1,0,1,0,1229,1229,775.18,1017.64,242.46
conc8,Which employees earn more than the average salary?,1,1,0,1,0,1237,1237,786.01,1031.17,245.16
conc8,How many projects does each employee work on?,1,1,0,1,0,1232,1232,810.43,1047.17,236.74
conc8,Which department has the highest average salary?,4,2,0,2,2,5977,1815,4551.45,4554.08,2.63
rightsizing,List every employee together with their department name.,4,2,0,2,2,6322,1935,8373.68,8375.84,2.16
rightsizing,How many projects does each employee work on?,4,2,0,2,2,6154,1786,6718.62,6720.93,2.31
rightsizing,Which employees earn more than the average salary?,5,2,0,2,3,8000,2041,5646.72,5648.82,2.1
rightsizing,What is the lowest salary in each department?,4,2,0,2,2,5946,1722,5984.35,5987.38,3.03
rightsizing,Which department has the fewest employees?,5,2,0,2,3,8129,2173,6230.99,6232.96,1.97
